SKU,created_at,day,pSupplierSKU,psupplierCode,qty_count,order_count,price,pName
1300830930,"2014-12-27 12:56:40",0,K90-T6,141-0005,3,1,74.80,"Cree T6 6000LM 400M Range 5-Mode LED Tactical Flashlight(3x18650/26650,Black) "
2010926915,"2014-12-27 13:41:41",0,DJ-1.5W-014-CW,119-0016,10,1,10.08,"Modern LED Footlight 1.5W 120LM COB Cool White-Black(AC100-265V)"
3241030591,"2014-12-27 14:04:39",0,SCM8001-A4-C,238-0004,3,3,4.88,"Modern Style Kitchen ABS Chrome Finish LED Faucet Light-Colorful"
1000710869,"2014-12-27 14:11:01",0,PAR38-9W-3A-WW,119-0015,2,1,14.84,"9W E27 AC85-265V Warm White Spot Bulb"
1700926049,"2014-12-27 14:30:04",0,CLD-3W-001-CW,119-0016,8,1,5.04,"LED Down Lamp 3W 240-270Lm SMD5630 Cool White Round Shape White Shell(AC100-240V)"
1811230055,"2014-12-27 15:34:39",0,"BORL-010C Black",174-0001,1,1,46.11,"7W Touch Switch 3 mode with 5 levels Taiwan GPI 5630 LED Desk Lamp-Black EU Standard"
1300821031,"2014-12-27 17:01:28",0,K75S-US,141-0005,2,1,53.66,"LED Bike Light Cree XM-L T6 5200LM 3-Mode(6x18650,Black)-Full Set US Standard"
2500924844,"2014-12-27 17:32:34",0,PC-N6W-BK-CW,206-0005,1,1,11.06,"IP66 LED Floodlight 6W 540-600LM 6-LED High Power Cool White-Black(AC85-265V)"
1010726244,"2014-12-27 17:57:53",0,LX-QP-11,119-0014,2,1,7.15,"LED Ball Bulb B22 7W 460-500LM 14xSMD5730 Warm White-Silver(AC110-240V)"
1010723059,"2014-12-27 18:40:50",0,BL-Q72-WW,119-0015,10,1,5.26,"LED Ball Bulb B22 6W 480Lm Warm White-Silver(AC85-265V)"
1000710841,"2014-12-27 19:13:17",2,SP-02--WW,119-0015,6,2,3.25,"1W GU10 AC85-265V Warm White Spot Bulb"
3240230596,"2014-12-27 19:35:09",0,SCM8001-A6-B,238-0004,2,1,2.60,"Handy Trends Nozzle Kitchen&Bathroom ABS Chrome Finish LED Faucet Light-Blue"
